product_id,product_name,price,category,country_made,brand
882347,"JIALEEY Spiral Bead Cages Pendants, 30 PCs 3 Sizes Silver Plated Stone Holder Necklace Cage Pendants Findings for Jewelry Making and Crafting",7.99,Beading & Jewelry Making,china,brandC
993062,"EuTengHao 90ft Jewelry Making Chains Link Roll Bulk, 2mm Metal Necklace Chains with Lobster Clasps Open Jump Rings for Jewelry Necklace Bracelet Anklet Making (7 Colors)",15.99,Beading & Jewelry Making,china,brandE
991341,"The Beadsmith WrapMaker Plier – Casual Comfort Handle, 6” (152mm) – Holds Wire Bundle Securely As You Wrap – Works On All Gauges & Shapes – Bend, Shape, Pull & Position Wire",15.06,Beading & Jewelry Making,england,brandA
991795,"20PCS Silicone Mold Cup Dispenser, Small Silicone Cups,Resin Mold Mini Measuring Cup, Color Modulation Tools for DIY Epoxy Resin Craft",10.65,Beading & Jewelry Making,england,brandB
883419,"ResinWorld 4 Pack 4 inches Round Coaster Molds, Thick Coaster Silicone Molds for Resin Casting, Geode Agate Silicone Coaster Epoxy Casting Mold",9.99,Beading & Jewelry Making,france,brandG
992160,32pcs Gold Plated Enamel Medical Nurse Charms Stethoscope Syringe Nurse Cap Hat Charms for Jewelry Making Crafting Findings Accessory for DIY Necklace Bracelet (M430),7.99,Beading & Jewelry Making,germany,brandB
309588,Teling 400 Pcs Iridescent Necklace Display Cards Self Adhesive Jewelry Tag Bracelet Earring Holder Cards for Small Business of Girl Women Jewelry Packaging Supplies Display,20.99,Beading & Jewelry Making,korea,brandF
993240,"80Pcs 15mm Silicone Beads, Silicone Beads for Keychain Making Silicone Focal Beads Loose Rubber Silicone Beads for Pens Necklace Bracelet Making(Scarlet red)",8.99,Beading & Jewelry Making,australia,brandG
992853,"TUPARKA 120 Pack Earring Display Card with 120 Pcs Self-Seal Bags, Necklace Display Cards,Earring Card Holder Blank Kraft Paper Tags for DIY Jewelry Display",7.98,Beading & Jewelry Making,korea,brandH
308424,Yinkin 1500 Pieces Round Acrylic Alphabet Letter Beads White Black Round Bead Gold Letter Beads Round Gold Spacer Beads for Jewelry Making Bracelets Necklace Handmade Craft,9.99,Beading & Jewelry Making,france,brandE
881473,"120 Pairs Butterfly Clutch Tie Tacks Pin Back Replacement with 8mm Length 4mm Width Blank Pins for Craft Making (4mm, Silver)",5.95,Beading & Jewelry Making,canda,brandB
308924,Bingcute 500Pcs Silver Plated Ball Head Pins Findings Jewelry Making 1.5-Inch/35mm,10.5,Beading & Jewelry Making,canda,brandH
991032,"3 Pieces Wax Carving Tools, Rainbow Sculpting Tools DAB Tool with Double-Ended Stainless Steel Design and Transparent Box Clay Wax Carver Tools for Jewellery Detailing Modeling",6.12,Beading & Jewelry Making,usa,brandG
884110,Hicarer 56 Pieces Butterfly Charms Butterfly Pendants Kawaii Charms for Jewelry Making DIY Necklace Bracelets Accessories,12.59,Beading & Jewelry Making,korea,brandE
882029,2100 Pcs White Clay Beads Colorful Round Handmade Heishi Bracelet Making Beads Flat Beads Polymer Clay Beads for Necklace Bracelet Making (6mm),6.99,Beading & Jewelry Making,france,brandH
993215,"Hicarer 168 Pieces Pompoms Earrings Fabric Metallic Colorful Pompoms Earrings Charms DIY Fluffy Ball for Tassel Earrings Charm Pendant Keychain Jewelry Making, 24 Colors",14.99,Beading & Jewelry Making,france,brandC
882219,"Ring Size Adjuster for Loose Rings - 2 Styles, 13 Sizes - Jewelry Sizer, Mandrel for Making Jewelry Guard, Spacer, Sizer, Fitter - Spiral Silicone Tightener Set",6.99,Beading & Jewelry Making,england,brandE
991364,"QUEFE 4100pcs 24 Colors Clay Beads for Bracelet Making Kit, Charm Bracelet Making Kit for Girls 8-12, Polymer Heishi Beads for Crafts",9.99,Beading & Jewelry Making,korea,brandB
992327,Kalolary Halloween Charms for Jewelry Making Coffin Skull Alloy Dangle Charms Enamel Bracelet Charms Metal Earring Pendant Charms for Halloween Party DIY Jewelry Necklace Bracelet Supplies,15.99,Beading & Jewelry Making,germany,brandB
309533,Steel Punches Flower Punch Stamp Set Jewelry Metal Stamping Tools DIY Craft Tool 20 Pcs/set,13.99,Beading & Jewelry Making,australia,brandA
881546,JIALEEY Assorted Gold Plated Enamel Cat Moon Star Celestial Charm Pendant DIY for Earrings Necklace Bracelet Jewelry Making and Crafting,6.42,Beading & Jewelry Making,france,brandA
883156,"1200pcs 4 Sizes ABS Pearl Beads Ivory No Holes Elegant Luster, Pearls for Crafts, DIY, Vase Filling, Wedding, Birthday Party, Home Decoration (4mm, 6mm, 8mm,10mm)",8.68,Beading & Jewelry Making,canda,brandC
884052,"15 Pieces Resin Casting Tools Set - Include Sand Papers, Polishing Blocks, Polishing Cloth, Round File, Semicircular File, Flat File and Scissors for Polishing Epoxy Resin Jewelry Making Supplies",11.99,Beading & Jewelry Making,canda,brandH
309067,"JGFinds Cord End Caps - 95 Pack for 3.5mm Cord, Cylinder Antique Carved Look, Copper Color, DIY Jewelry Making Supplies",9.22,Beading & Jewelry Making,usa,brandI
882964,1000Pcs O Ring Connectors Metal Open Jump Rings Set 304 Stainless-Steel Jump Rings for Jewelry Making Connectors ( 4mm 5mm 6mm 7mm 8mm 10mm),7.99,Beading & Jewelry Making,china,brandA
992470,"BENECREAT 20 PCS 18K Real Gold Plated Spacer Beads Metal Beads for DIY Jewelry Making Findings and Other Craft Work - 8x8x3mm, Cross Shape",9.49,Beading & Jewelry Making,korea,brandE
882952,"Silicone Beads, 150pcs Bulk Round Large Beads 15mm Hexagon 14mm for Jewelry Making with Lanyard & Key Chain Ring for Keychain Making (Macaron)",19.99,Beading & Jewelry Making,germany,brandH
992171,"PH PandaHall 100pcs Crystal Dangle Charms, Crackle Glass Drop Beads Charms 10 Color Dangle Bead with Silver Bead Cap Drops Beads Charms Pendants for Jewelry Making Necklace Earring",9.49,Beading & Jewelry Making,usa,brandH
107051,Tulip One-Step Dye Kits - Blush,7.49,Fabric Decorating,canda,brandC
107248,"Rit Dye RIT COLORSTAY, 8 fl oz, Dye Fixative Limited Edition, 88720-55",0.0,Fabric Decorating,germany,brandF
108076,Rit Dye Liquid 8 Ounces Kelly Green 8-32 (3-Pack),16.45,Fabric Decorating,france,brandC
108023,Jacquard Products Jacquard Dye-Na-Flow Liquid Color 8oz-Bright Green,16.0,Fabric Decorating,korea,brandC
107276,"Dylon Pk Permanent Fabric Dye 1.75oz-Velvet Black, Multipack of 12, 12 Pack",29.99,Fabric Decorating,china,brandF
107264,Music S Alternative Metal Heavy Metal nu Metal Band Music Style Logo Patch Embroidered Sew Iron On Patches Badge Bags Hat Jeans Shoes T-Shirt Applique,5.99,Fabric Decorating,germany,brandB
107185,Blue Dye - Solvent Based Blue Liquid Dye - Royal Blue,17.99,Fabric Decorating,england,brandA
108778,Create Basic Tie Dye Kit Red,0.0,Fabric Decorating,korea,brandB
108496,"All-Purpose Liquid Dye, Charcoal Grey 2-Count",17.21,Fabric Decorating,usa,brandA
108485,"Carpet dye""Booster Colors Set""",0.0,Fabric Decorating,usa,brandA
108627,PARITA Mini Flag Patch Bulgarian Embroidered Military Tactical Bulgarian Flag Patches National Emblem for Travel Backpack Hats Jackets Jeans T-Shirt Costume Craft Sewing (03),4.99,Fabric Decorating,china,brandH
106865,"Mont Marte Permanent Fabric Paint Set 8 x 20ml Vivid Colours for Textile, Fabric, T-Shirt, Canvas, Wood, Ceramic, Glass",10.99,Fabric Decorating,australia,brandB
107354,Jacquard Products Jacquard Dye-Na-Flow Liquid Color 8oz-Brilliant Red,14.49,Fabric Decorating,usa,brandG
108713,"Tulip Sublimation Markers 6pk, Tropical, One Size, As Detailed",12.6,Fabric Decorating,china,brandF
