rating,review_text,age,gender,location_user,price,category,country_made,brand
0.9913172834750704,Public off raise face. Such street Republican level indicate camera. Personal head environmental your grow.,1.6011903298146855,1,3,-0.04612588898345299,4,canda,5
-2.4022309213384085,Sea goal wrong language really. Reach modern goal Democrat hear production rate.,-1.223097493002473,1,80,-0.07524086651035432,22,korea,1
0.9913172834750704,Traditional very morning establish forward. Easy fall begin anything more.,-1.3360690059151592,1,64,-0.06550997675653339,114,germany,3
0.9913172834750704,Goal market again me. Should official end tax participant.,1.488218816901999,1,92,-0.07931968257483014,99,usa,7
0.1429302322717006,Challenge worker sport capital what put air than. Key book report from rich.,-0.6582399284390412,1,22,-0.14318228838433755,112,england,2
0.9913172834750704,Concern lead oil. Better fall so south. Police base art word hundred can.,-1.3360690059151592,0,1,-0.12377877767761677,55,australia,3
-1.553843870135039,Dark parent behind billion. Trip method service whom admit speak remember. From foot could vote night already bad.,-0.6582399284390412,1,72,-0.06550997675653339,27,korea,4
-0.7054568189316692,Glass necessary close really think knowledge. Five tend doctor away your today herself.,-0.8841829542644138,0,96,-0.030529273270243004,116,england,4
0.1429302322717006,Move daughter condition face operation four. Thank strategy team. Sound these eat per.,-0.5452684155263549,0,97,-0.0752991353112754,44,england,2
-0.7054568189316692,Himself action bit soon often no mind. Through whole better use.,-1.3360690059151592,1,69,-0.058109839039555806,89,korea,3
0.1429302322717006,Boy walk so my perform room. Interview really message field quickly year ahead. Choose tough end team either speak authority north. Particular hope personal.,-1.1101259800897865,1,63,-0.08112601540338374,57,china,0
0.1429302322717006,Expert far here deal bank nothing popular. Sit white simply. Between well whether politics left east.,-1.3360690059151592,1,83,-0.01751590773120104,102,canda,0
-0.7054568189316692,Sound actually bring half through believe cell. Or herself great clearly blue least we. Senior responsibility former reduce only again she.,-1.3360690059151592,1,9,-0.10051010317646415,86,australia,3
0.9913172834750704,Tough pick young once cost student available. Spring full several wind.,-0.0933823638756096,1,73,-0.10435584403725566,14,germany,4
0.9913172834750704,Notice understand worker budget couple. Section these off talk kitchen describe science gun.,-0.6582399284390412,1,34,-0.12377877767761677,23,canda,5
0.1429302322717006,Why most hit good where now. Partner side son store place.,-0.20635387678829592,1,95,-0.01751590773120104,102,canda,0
-0.7054568189316692,Free eye our generation he analysis. Response state star second kind best change.,-1.1101259800897865,1,10,-0.11070714333765373,73,canda,4
0.1429302322717006,Understand less push night increase as his. Wall tree art week investment generation avoid. Who power court bag plant two sit believe.,0.13256066194976307,1,43,-0.14318228838433755,68,england,2
0.1429302322717006,Store too policy responsibility class enjoy arrive. Sit sport life trouble. Man four of language.,1.14930427816394,1,17,0.41619820045806294,7,france,7
-0.7054568189316692,Game glass kid out card nothing throughout risk. Involve lay century contain rise success. Draw discussion wide over. Expect onto ago western.,0.8103897394258811,1,42,-0.007241175835450022,2,korea,1
