user_id,product_id,interaction_type,timestamp
140,507380,view,07/04/2025 10:53:30 PM
168,1294246,view,12/31/2024 05:42:04 PM
170,1053587,view,01/24/2025 10:19:44 AM
128,120683,add_to_cart,03/30/2025 04:05:19 PM
198,689620,view,12/21/2024 05:15:18 PM
117,1015533,add_to_cart,02/10/2025 03:54:31 PM
119,1142680,purchase,12/05/2024 09:59:37 AM
170,778455,view,04/04/2025 03:43:47 AM
139,51953,add_to_cart,10/04/2024 04:10:10 PM
148,486311,view,02/16/2025 12:56:15 AM
191,293879,view,07/11/2025 09:57:37 PM
126,1374740,view,10/17/2024 09:14:35 AM
188,945316,view,05/08/2025 07:53:22 PM
117,1054536,add_to_cart,05/26/2025 08:45:02 PM
147,1242421,view,03/26/2025 06:37:33 PM
102,1075784,view,05/10/2025 01:09:05 AM
105,953879,view,03/27/2025 05:49:30 PM
157,716953,view,06/24/2025 06:23:09 PM
144,947232,view,07/15/2025 06:41:30 PM
116,1239043,view,02/17/2025 01:19:08 PM
194,385225,add_to_cart,11/10/2024 05:06:42 AM
127,384152,view,02/13/2025 09:25:25 PM
195,1200171,purchase,01/10/2025 06:00:13 PM
144,1352637,view,08/10/2025 02:56:41 PM
118,672890,view,01/31/2025 12:29:23 AM
183,679123,purchase,09/17/2024 10:23:26 PM
134,1286554,add_to_cart,07/09/2025 01:33:17 AM
134,1414608,view,06/28/2025 08:43:06 PM
167,798331,view,09/26/2024 05:57:44 AM
142,1243488,view,12/12/2024 07:03:04 AM
150,572062,view,01/18/2025 10:54:26 AM
154,610550,view,12/15/2024 04:31:37 PM
181,1136869,view,08/18/2024 10:32:05 AM
155,1227793,view,08/17/2024 06:02:02 PM
138,796422,view,09/07/2024 05:35:19 PM
152,578290,add_to_cart,02/01/2025 08:06:48 AM
186,416525,view,03/30/2025 08:16:37 PM
103,963156,view,10/23/2024 04:21:31 AM
196,998682,add_to_cart,11/04/2024 11:08:02 AM
124,818360,add_to_cart,07/27/2025 10:08:37 AM
101,617027,view,09/23/2024 02:11:00 PM
127,849803,view,03/07/2025 12:36:57 PM
143,1301410,add_to_cart,01/12/2025 10:06:51 PM
186,998646,view,03/13/2025 02:57:28 PM
144,366156,view,02/18/2025 10:04:00 PM
197,948920,add_to_cart,06/22/2025 08:27:03 PM
119,1227355,purchase,10/08/2024 01:28:17 AM
148,677420,add_to_cart,09/15/2024 01:38:55 AM
184,1227826,purchase,05/01/2025 10:22:15 AM
156,235263,view,08/29/2024 07:47:41 PM
199,1209969,view,11/17/2024 11:50:43 AM
145,1228562,add_to_cart,12/15/2024 01:31:31 AM
117,102508,view,05/17/2025 08:59:19 PM
107,233982,add_to_cart,12/31/2024 05:43:49 AM
175,945715,view,05/22/2025 05:40:04 AM
160,1146084,view,05/18/2025 09:03:40 PM
131,995833,view,12/10/2024 11:20:57 AM
108,1243488,view,08/11/2025 03:15:26 AM
114,887686,view,11/29/2024 02:21:41 PM
168,896099,view,08/20/2024 03:15:02 AM
110,594110,view,08/18/2024 02:04:32 AM
116,235495,view,09/24/2024 07:45:25 PM
145,531227,add_to_cart,09/25/2024 06:47:07 AM
197,741840,view,06/08/2025 04:29:00 PM
170,1308581,view,07/19/2025 03:15:14 PM
167,582794,view,04/11/2025 04:44:51 PM
